Konkani,Hindi,Konkani_Rule_POS
शिंवरपाक,SRAIL SEVE,शिंवरपाक/VERB
धुंवर,धूर्तता,धुंवर/NOUN
सोडपाक,सरकार छोड़ने के लिए जाओ।,सोडपाक/VERB
कर्मचार्‍यांचो,कर्मचारी,कर्मचार्‍यांचो/ADJ
दुकरांच्या,गोता लगाना,दुकरांच्या/ADJ
घुडांत,घुडांत,घुडांत/NOUN
वचपाचें,जा रहा है,वचपाचें/NOUN
आडावपाक,रोक लेना,आडावपाक/VERB
तलम,शानदार,तलम/NOUN
जाळयेचो,संस्कृत,जाळयेचो/ADJ
एन्सेफलायटिसाचें,इंसेफेलाइटिस,एन्सेफलायटिसाचें/NOUN
हॅपटायटीस-ए,खुश,हॅपटायटीस-ए/NOUN
संवसारभर,दुनिया को,संवसारभर/NOUN
पसरपी,पसरपी,पसरपी/NOUN
नितळसाण,बोक,नितळसाण/NOUN
फिग्दाचेर,भौतिक पर फिंगर,फिग्दाचेर/NOUN
मारो,मारो,मारो/PRON
पिडेस्तां,प्रमाणित करना,पिडेस्तां/NOUN
गंभीरतायेन,गंभीरता से,गंभीरतायेन/NOUN
पसरयता,पसरयता,पसरयता/NOUN
मळांतल्यान,खेतों से,मळांतल्यान/PRON
गुदद्वारांतल्यान,नीचे,गुदद्वारांतल्यान/NOUN
तुळेन,ट्यूलने,तुळेन/NOUN
दाखोवपाक,अपमान दिखाने के लिए,दाखोवपाक/VERB
जावचे,के इलाज,जावचे/NOUN
हेरां,अन्य,हेरां/NOUN
पावपाक,संकलन करना,पावपाक/VERB
हळडुवसाण,बख्शीश,हळडुवसाण/NOUN
मूत,मूत,मूत/NOUN
हळडुवें,हळडुवें,हळडुवें/NOUN
फिक्या,फीका,फिक्या/NOUN
रंगाचे,रंग,रंगाचे/NOUN
अशक्तताय,अयोग्यता,अशक्तताय/NOUN
कडकडो,गले लगाना,कडकडो/NOUN
भूक,भूख,भूक/NOUN
लागनासप,लागनासप,लागनासप/NOUN
गळो,गला,गळो/NOUN
लक्षणांतल्यान,स्टाइलिश,लक्षणांतल्यान/NOUN
येवपाची,तपस्या,येवपाची/NOUN
वारंवारताय,आवृत्ति,वारंवारताय/NOUN
खरसाण,खरसाण,खरसाण/NOUN
मनशाचे,मानसिक,मनशाचे/PRON
तरांचे,अगले,तरांचे/NOUN
वायरल,वायरल,वायरल/NOUN
हॅपटायटीस,हेपेटाइटिस,हॅपटायटीस/PART
किटाणूंक,किटनंक,किटाणूंक/NOUN
दरेके,प्रत्येक,दरेके/NOUN
वेगळो,अलग,वेगळो/NOUN
हॅपटायटीस-बीक,खुश,हॅपटायटीस-बीक/NOUN
घेतिल्लें,खरीदा,घेतिल्लें/NOUN
हॅपटायटीस-एक,हापेटाइटिस-ए,हॅपटायटीस-एक/NOUN
हॅपटायटीस-बी,खुश,हॅपटायटीस-बी/NOUN
सुरक्षेचे,सुरक्षा,सुरक्षेचे/NOUN
पयलेंच,के पहले,पयलेंच/NOUN
दवरता,जगह,दवरता/NOUN
म्हयन्यां,कोई माँ,म्हयन्यां/PRON
दिवपाचे,किसी दिए गए,दिवपाचे/NOUN
बुस्टर,बूस्टर,बुस्टर/NOUN
डोझ,डोझ,डोझ/NOUN
अदमासान,अनुमान के बारे में,अदमासान/NOUN
उणीं,यहाँ,उणीं/NOUN
ग्लेक्सोम्थिक्लायना,ग्लेक्सोम्थिक्लायना,ग्लेक्सोम्थिक्लायना/NOUN
म्हयन्यांचेर,स्टूडेन,म्हयन्यांचेर/PRON
दिवपाचें,देखते हुए,दिवपाचें/NOUN
एकेच,जो उसी,एकेच/NOUN
क्रमांत,में,क्रमांत/NOUN
दोनांय,दोनांय,दोनांय/NOUN
संयुक्त,यूनाइटेड,संयुक्त/NOUN
तरांनी,इसलिए,तरांनी/NOUN
5,5,05/NOUN
मिली,मिली,मिली/ADJ
घोंट,घोंट,घोंट/NOUN
16,16,16/NOUN
जाणट्यां,प्राचीनों,जाणट्यां/NOUN
मिलीचो,मिलि ऑफ मिलि,मिलीचो/ADJ
विश्वव्यापी,वैश्विक,विश्वव्यापी/NOUN
एचबीवीक,एचबीवीक,एचबीवीक/NOUN
एचबीवी,एचबीवी,एचबीवी/NOUN
जळपाक,जलना,जळपाक/VERB
यकृताच्यो,जिगर,यकृताच्यो/NOUN
फिग्दाचें,अंजीर,फिग्दाचें/NOUN
अनपेक्षीत,अप्रत्याशित,अनपेक्षीत/NOUN
शक्तीचे,ताकतवर,शक्तीचे/NOUN
स्थितीचेर,पैग़ंबर,स्थितीचेर/NOUN
सामकी,उबरे,सामकी/NOUN
एचआयवीचे,HIV,एचआयवीचे/NOUN
पटींनी,द्वारा,पटींनी/NOUN
वर्सभरांत,विद्यार्थी,वर्सभरांत/NOUN
एड्साचे,सहायता,एड्साचे/NOUN
मरणाक,मौतें,मरणाक/PRON
पिडेच्या,परजीवी,पिडेच्या/ADJ
प्रसाराक,प्रसाराक,प्रसाराक/NOUN
म्हत्वपूर्ण,स्पेटल,म्हत्वपूर्ण/NOUN
साधन,साधन,साधन/NOUN
आंगाच्या,खुशबूदार,आंगाच्या/ADJ
द्रव्यांतल्यान,हेट्रप्रिलेज,द्रव्यांतल्यान/NOUN
वीर्य,वीर्य,वीर्य/NOUN
योनीमार्गांतल्यान,योनीमार्गांतल्यान,योनीमार्गांतल्यान/NOUN
स्राव,स्राव,स्राव/NOUN
जल्मा,जन्म,जल्मा/NOUN
दुसरेक,दूसरा।,दुसरेक/NOUN
क्रॉनीक,क्रूर,क्रॉनीक/NOUN
वाहक,वाहक,वाहक/NOUN
फिग्दाच्या,अंजीर,फिग्दाच्या/ADJ
वाटावपाक,आरक्षित करने के लिए,वाटावपाक/VERB
सगल्यां,सभी,सगल्यां/NOUN
वासिना,वासिना,वासिना/NOUN
सुरक्षात्मक,सुरक्षात्मक,सुरक्षात्मक/NOUN
प्रतिजैवीक,प्रतिजैवीक,प्रतिजैवीक/NOUN
प्रतिक्रिया,प्रतिक्रिया,प्रतिक्रिया/NOUN
संपूर्ण,अकेले,संपूर्ण/NOUN
मेळूं,शायद,मेळूं/PRON
हॅपटायटीस-बीचें,खुश,हॅपटायटीस-बीचें/NOUN
प्रमाणार,सैलाब,प्रमाणार/NOUN
हॅपटायटीस-बीची,खुश,हॅपटायटीस-बीची/NOUN
लागण,संक्रमण,लागण/NOUN
तेंपाच्या,टेम्पा,तेंपाच्या/ADJ
हांतल्यान,वे हैं,हांतल्यान/NOUN
उपराशिल्लो,बाद,उपराशिल्लो/ADJ
फिग्दाचो,अंजीर का अंजीर,फिग्दाचो/ADJ
उल्लेख,उल्लेख,उल्लेख/NOUN
उणाव,कमी,उणाव/NOUN
दिसला,दृश्यमान,दिसला/NOUN
ग्लॅक्सोम्थिक्लायना,ग्लेक्सोमेटिकलिना,ग्लॅक्सोम्थिक्लायना/NOUN
0,0,0/NOUN
क्रमांतल्यान,के अनुक्रम से,क्रमांतल्यान/NOUN
केलां,केला,केलां/NOUN
एकवटीत,सर्वसम्मति से,एकवटीत/NOUN
स्वातंत्र्य,स्वतंत्रता,स्वातंत्र्य/NOUN
मेळ्ळे,तय,मेळ्ळे/PRON
वाडटे,बढ़ती,वाडटे/NOUN
लोकसंख्येची,जनसंख्या,लोकसंख्येची/NOUN
1952,1952,1952/NOUN
परिवार,परिवार,परिवार/NOUN
कल्याण,कल्याण,कल्याण/NOUN
कार्यक्रम,कार्यक्रम,कार्यक्रम/NOUN
चलयलो,चुनाव,चलयलो/ADJ
1994त,1994त,1994त/NOUN
कायरो,कायरोको,कायरो/NOUN
इजिप्तांत,मिस्र में मिस्र में,इजिप्तांत/NOUN
आंतरराष्ट्रीय,अंतरराष्ट्रीय,आंतरराष्ट्रीय/NOUN
मेळाव्यांत,रैलियों में,मेळाव्यांत/NOUN
लोकसंख्या,जनसंख्या,लोकसंख्या/NOUN
विकास,विकास,विकास/PART
विशयाचेर,टेक्स,विशयाचेर/NOUN
सुचयलें,सुझाव,सुचयलें/NOUN
बाळंटेर,बाल्नर,बाळंटेर/NOUN
कुटुंब,परिवार,कुटुंब/NOUN
सुदारून,उन्नत,सुदारून/NOUN
सांगड,उलझन,सांगड/NOUN
घालप,पहनना,घालप/NOUN
मनीसहीत,स्वीट,मनीसहीत/NOUN
तशेंचविकास,तशेंचविकास,तशेंचविकास/PART
आसतलें,शायद,आसतलें/NOUN
तत्वाच्या,सिद्धांत,तत्वाच्या/ADJ
नियोजन,नियोजन,नियोजन/NOUN
सेवेंत,सेवा करने के लिए,सेवेंत/NOUN
आसपावपाक,शामिल करना,आसपावपाक/VERB
भुरग्याचे,खतरे की घंटी,भुरग्याचे/NOUN
भलायकेचे,परिचित,भलायकेचे/NOUN
कार्यावळीची,प्रक्रिया,कार्यावळीची/NOUN
कल्पना,पहचान,कल्पना/NOUN
भुरग्याची,गरजना,भुरग्याची/NOUN
1997,1997,1997/NOUN
चलयता,रन,चलयता/NOUN
उत्तराखंडांत,उत्तराखंड में,उत्तराखंडांत/NOUN
राज्याची,राज्य,राज्याची/NOUN
रचणूक,फोकटिक्स,रचणूक/NOUN
पसुनूच,पसुनूच,पसुनूच/NOUN
मूळ,जड़,मूळ/PRON
राज्य,राज्य,राज्य/NOUN
उत्तर,उत्तर,उत्तर/NOUN
प्रदेशाचे,क्षेत्र,प्रदेशाचे/NOUN
उत्तराखंडाचे,उत्तर -संबंधी,उत्तराखंडाचे/NOUN
दरेचो,कीमत की कीमत,दरेचो/ADJ
स्तर,स्तर,स्तर/NOUN
उरला,बाएं,उरला/NOUN
1951,1951,1951/NOUN
56च्या,56 का,56च्या/ADJ
काळांत,अधिक समय तक,काळांत/NOUN
असुदारीत,नपुंसक,असुदारीत/NOUN
जल्माची,बाढ़,जल्माची/NOUN
48,48,48/NOUN
जी,जी,जी/NOUN
81च्या,81 का,81च्या/ADJ
जाल्ली,बनाया गया था,जाल्ली/ADJ
1994,1994,1994/NOUN
2001,2001,2001/NOUN
आनिकूय,वहाँ अभी भी,आनिकूय/NOUN
26चेर,26चेर,26चेर/NOUN
पावली,खड़ी,पावली/ADJ
जिल्ल्यांत,जिले में,जिल्ल्यांत/NOUN
पौडींत,पौडींत,पौडींत/NOUN
हरिद्वारांत,हरिद्वार में,हरिद्वारांत/NOUN
बायलेगेर,बायलेगेर,बायलेगेर/NOUN
बाळंटेराच्या,बालनट्रा,बाळंटेराच्या/ADJ
भुरग्यांची,आंगन,भुरग्यांची/NOUN
1971,1971,1971/NOUN
76च्या,76 का,76च्या/ADJ
पांचां,पांचां,पांचां/NOUN
आसपाचो,देस,आसपाचो/ADJ
सेगीत,यहां तक ​​की,सेगीत/NOUN
2001त,2001,2001त/NOUN
33,33,33/NOUN
मनीसगटां,मनीसगटां,मनीसगटां/PRON
मदलीं,मदलीं,मदलीं/PRON
वेगळेपणांय,विशिष्ट,वेगळेपणांय/NOUN
जाल्यांत,पैदा हुआ है,जाल्यांत/NOUN
जल्म,विवाद,जल्म/NOUN
शारी,शारी,शारी/NOUN
ग्रामीण,ग्रामीण,ग्रामीण/NOUN
क्षेत्रांनी,खेतों में,क्षेत्रांनी/NOUN
वेगळी,अलग,वेगळी/NOUN
चल्याची,लड़का एक लड़का है,चल्याची/NOUN
आस,आस,आस/PART
राज्याच्या,राज्य,राज्याच्या/ADJ
आंकड्यांचेर,खोपड़ी,आंकड्यांचेर/NOUN
घालतली,सम्मिलित किया गया,घालतली/ADJ
मैदानी,मैदानी,मैदानी/PRON
वाठाराचे,क्षेत्र का,वाठाराचे/NOUN
दोंगरी,पर्वत,दोंगरी/NOUN
चवथय,चौथी,चवथय/NOUN
भुरग्या,बच्चे,भुरग्या/NOUN
24,24,24/NOUN
अर्दा,नेफका,अर्दा/NOUN
46,46,46/NOUN
आवयो,आवयो,आवयो/NOUN
तिनां,टिनन,तिनां/NOUN
42,42,42/NOUN
घाताच्या,घातक,घाताच्या/ADJ
मोडटात,खो गया ब्रेक,मोडटात/NOUN
उत्तराखंडाच्या,नाभिकीय,उत्तराखंडाच्या/ADJ
मरणाचे,मृत,मरणाचे/PRON
दरे,दरे,दरे/NOUN
अभावाक,अभावाक,अभावाक/NOUN
दरेंत,दरेंत,दरेंत/NOUN
उणावाची,मृतक,उणावाची/NOUN
प्रवृती,अवधि,प्रवृती/NOUN
पद्दतीचेर,संध्या पर,पद्दतीचेर/NOUN
टिपण,टिप्पणी,टिपण/NOUN
सॅम्पल,नमूना,सॅम्पल/NOUN
प्रणाली,प्रणाली,प्रणाली/ADJ
एसआरएस,एसआरएस,एसआरएस/PART
अदमासा,एडमासा,अदमासा/NOUN
2000च्या,2000 का,2000च्या/ADJ
उत्तराखंडाची,उत्तर,उत्तराखंडाची/NOUN
मरणाची,मृत,मरणाची/PRON
प्रत्येक,प्रत्येक,प्रत्येक/NOUN
7,7,7/NOUN
इतली,इसलिए,इतली/ADJ
सरासरी,औसत,सरासरी/NOUN
9,9,9/NOUN
वर्स,साल,वर्स/PART
2000त,2000त,2000त/NOUN
जित्या,जुड़ा हुआ,जित्या/NOUN
जल्मांचेर,जन्मों के जन्म,जल्मांचेर/NOUN
बाळकांच्या,बच्चा,बाळकांच्या/ADJ
संख्ये,नंबर,संख्ये/NOUN
त्रितियांश,त्रितियांश,त्रितियांश/NOUN
मरणां,मौतें,मरणां/PRON
नव्यान,एस्टारे,नव्यान/NOUN
बाळकां,बच्चा,बाळकां/NOUN
जल्मां,जन्म,जल्मां/NOUN
तुर्ताक,टर्टक,तुर्ताक/NOUN
आवयांच्या,अधिमूल्य,आवयांच्या/ADJ
आंकडे,आंकडे,आंकडे/NOUN
मेळनात,बास्ट,मेळनात/NOUN
विशम,विशम,विशम/NOUN
भुगोलीक,भौगोलिक,भुगोलीक/NOUN
परिस्थिती,परिस्थिति,परिस्थिती/NOUN
आसतली,मई,आसतली/ADJ
आधुनिकीकरण,आधुनिकीकरण,आधुनिकीकरण/NOUN
नागरीकरणाक,नगरीन,नागरीकरणाक/NOUN
जिणेशैलेंत,जिणेशैलेंत,जिणेशैलेंत/NOUN
बदलान,बदलान,बदलान/NOUN
असंसर्गीत,असंसर्गीत,असंसर्गीत/NOUN
मरणाचें,मौत।,मरणाचें/PRON
बाल,बाल,बाल/NOUN
कार्यावळीचो,कार्यात्मक,कार्यावळीचो/ADJ
हेत,हेत,हेत/NOUN
दादल्याच्या,आंतरिक,दादल्याच्या/ADJ
वांट्याक,दौर,वांट्याक/NOUN
म्हत्व,महत्त्व,म्हत्व/PRON
बायलेक,पत्नी,बायलेक/NOUN
दादल्याक,आदेश,दादल्याक/NOUN
गर्भनिरोधकां,गर्भनिरोधकां,गर्भनिरोधकां/NOUN
विशींचें,के बारे में,विशींचें/NOUN
गिन्यान,गिन्यान,गिन्यान/NOUN
गुरवारपणांत,"गर्भावस्था में,",गुरवारपणांत/NOUN
बाळंटेरा,बलंतरा,बाळंटेरा/NOUN
जोडप्याक,युगल,जोडप्याक/NOUN
भुरगें,व्यग्र,भुरगें/NOUN
प्राप्त,प्राप्त,प्राप्त/NOUN
हेतान,O उद्देश्यपूर्ण उद्देश्य,हेतान/NOUN
चालीक,ईआईएस,चालीक/NOUN
लायल्या,लेटिंग लेटिंग,लायल्या/NOUN
जोडप्याचे,युगल,जोडप्याचे/NOUN
सुरक्षेचें,सुरक्षा,सुरक्षेचें/NOUN
2006,2006,2006/NOUN
490,490,490/NOUN
2010,2010,2010/NOUN
550,550,550/NOUN
95,95,95/NOUN
वाडोवप,बढ़ाना,वाडोवप/NOUN
मोख,दृष्टिकोण,मोख/PRON
बाळंटेरांचें,बालनट्रा,बाळंटेरांचें/NOUN
संस्थेंत,संस्थान में,संस्थेंत/NOUN
बाळंटेरांची,बाल्नेस्टी,बाळंटेरांची/NOUN
खाला,खाला,खाला/NOUN
चलपी,पीछा,चलपी/NOUN
आरसीएच,आरसीएच,आरसीएच/NOUN
शिबिरांचें,शिविर,शिबिरांचें/NOUN
आयोजन,आयोजन,आयोजन/NOUN
बाह्यरूप,आउटर,बाह्यरूप/NOUN
सत्रांचें,सत्र,सत्रांचें/NOUN
संविदेचेर,संविदेचेर,संविदेचेर/NOUN
बायल,मादा,बायल/NOUN
कार्यकर्तेची,एक कार्यकर्ता का,कार्यकर्तेची/NOUN
नेमणूक,नियुक्ति,नेमणूक/NOUN
एककांची,इकाइयों,एककांची/NOUN
दुरुस्ती,मरम्मत,दुरुस्ती/NOUN
नविनीकरण,नविनीकरण,नविनीकरण/NOUN
नागरी,नागरिक,नागरी/NOUN
आलायत्या,बेहिसाब,आलायत्या/NOUN
एएनएमाची,एनमाची,एएनएमाची/NOUN
गांवगिर्‍या,ग्रामीण,गांवगिर्‍या/NOUN
258,258,258/NOUN
एएनएमाचे,एनमा,एएनएमाचे/NOUN
संविदेच्या,संवैधानिक,संविदेच्या/ADJ
आवयांक,आवयांक,आवयांक/NOUN
सांबाळूंक,देखभाल करना,सांबाळूंक/NOUN
गर्भनिरोधकांची,गर्भनिरोधक,गर्भनिरोधकांची/NOUN
ग्राह्यताय,ग्राह्यताय,ग्राह्यताय/NOUN
वाडोवपा,की ओर इशारा करना,वाडोवपा/NOUN
केल्या,सिद्धांत,केल्या/NOUN
केंद्रांनी,केन्द्रों,केंद्रांनी/NOUN
सामाजीक,सामाजिक,सामाजीक/NOUN
रातच्या,रात,रातच्या/ADJ
8,8,8/NOUN
सकाळच्या,सुबह,सकाळच्या/ADJ
वरां,घंटे,वरां/NOUN
जावपाच्या,यह,जावपाच्या/ADJ
उद्देशान,उद्देश्य का पर्यवेक्षण,उद्देशान/NOUN
सरकाराच्या,सरकार सरकार,सरकाराच्या/ADJ
आदेशा,आदेश,आदेशा/NOUN
39,39,39/NOUN
26,26,26/NOUN
दवरल्या,डियरल्स,दवरल्या/NOUN
बाळंटेराची,बाल्ट्रानिक,बाळंटेराची/NOUN
पावोवपा,भंग करना,पावोवपा/NOUN
900,900,900/NOUN
अप्रशिक्षीत,अप्रशिक्षीत,अप्रशिक्षीत/NOUN
दायांक,दायांक,दायांक/NOUN
2004,2004,2004/NOUN
2005,2005,2005/NOUN
560,560,560/NOUN
प्रशिक्षीत,प्रशिक्षित,प्रशिक्षीत/NOUN
ईएजी,ईएजी,ईएजी/NOUN
कार्यक्रमांत,घटना में,कार्यक्रमांत/NOUN
मातृत्व,मातृत्व,मातृत्व/PRON
दिवप्याक,चिराग,दिवप्याक/NOUN
चिकित्साधिकारी,चिकित्साधिकारी,चिकित्साधिकारी/NOUN
संमती,सहमति,संमती/NOUN
नेमणुके,नियुक्ति,नेमणुके/NOUN
हेतून,के लिए,हेतून/NOUN
वर्तमानपत्रांनी,समाचार पत्र,वर्तमानपत्रांनी/NOUN
जायराती,Envertise संस्करण वयस्क ense,जायराती/NOUN
दोतोरांक,डॉक्टरों,दोतोरांक/NOUN
वेंचिल्ल्यो,वेंचिल्ल्यो,वेंचिल्ल्यो/NOUN
जातूंतले,तालेथ,जातूंतले/ADJ
अगस्तमुनी,अगुर,अगस्तमुनी/NOUN
रुद्रप्रयागांत,रुद्रप्रयागांत,रुद्रप्रयागांत/NOUN
योगदानाची,योगदान,योगदानाची/NOUN
सुचना,जानकारी,सुचना/NOUN
दिली,दिया गया,दिली/ADJ
राज्यांतले,राज्य का,राज्यांतले/ADJ
ग्रामसभेच्या,ग्राम सभा,ग्रामसभेच्या/ADJ
स्तराचेर,स्तर,स्तराचेर/NOUN
कार्यकर्मीच्या,कार्यकर्ता को,कार्यकर्मीच्या/ADJ
वतीन,पाँच,वतीन/NOUN
म्हयन्याच्या,प्रसिद्ध,म्हयन्याच्या/ADJ
निश्चीत,तय,निश्चीत/NOUN
शेनवारा,घोंघा,शेनवारा/NOUN
आवटरीच,अशिष्ट,आवटरीच/NOUN
सत्राचें,सत्र है,सत्राचें/NOUN
भुरग्यांचे,भूजल,भुरग्यांचे/NOUN
सरकाराची,सरकार,सरकाराची/NOUN
जुलय,जुलाई,जुलय/NOUN
म्हयन्यांत,के महीने के दौरान,म्हयन्यांत/NOUN
केली,केली,केली/ADJ
कार्यावळींत,घटना में,कार्यावळींत/NOUN
स्तरा,स्तरा,स्तरा/NOUN
वखदांची,गोदाम,वखदांची/NOUN
खरेदी,खरीदना,खरेदी/NOUN
कीट,कीट,कीट/NOUN
जिल्ल्यांक,गाँव,जिल्ल्यांक/NOUN
विकतीं,विकतीं,विकतीं/NOUN
उपरकरणां,उपरकरणां,उपरकरणां/NOUN
स्थापिल्ले,मूर्ति पूजा,स्थापिल्ले/ADJ
कार्यकारिणी,कार्यकारिणी,कार्यकारिणी/NOUN
समितीचे,समिति,समितीचे/NOUN
मान्यताये,मान्यताये,मान्यताये/PRON
मुख्यालय,मुख्यालय,मुख्यालय/PRON
विकतें,तेंगे,विकतें/NOUN
घेवपी,अनुग्रह,घेवपी/NOUN
समितीन,समिति ने इसे बनाया है,समितीन/NOUN
नेमा,नेमा,नेमा/NOUN
प्रमाणें,वरीयताएँ,प्रमाणें/NOUN
मेकळीक,चक्र,मेकळीक/PRON
स्थराच्या,का,स्थराच्या/ADJ
विकत,खरीदना,विकत/NOUN
उपकरणां,सियोनरीज़,उपकरणां/NOUN
खांतीर,दालचीनी,खांतीर/NOUN
समितेच्या,समिति,समितेच्या/ADJ
मागण्या,माँग,मागण्या/PRON
मुख्यालयाच्या,हैडर,मुख्यालयाच्या/ADJ
समितीच्या,समिति,समितीच्या/ADJ
तजवीज,विस्तार में बताना,तजवीज/NOUN
थीर,अटल,थीर/NOUN
दादल्यांचो,पुरुष पुरुष थे,दादल्यांचो/ADJ
सहभाग,भाग लेना,सहभाग/NOUN
एनएसवी,एनएसवी,एनएसवी/NOUN
चिरिनासतना,चिरिनसाटा,चिरिनासतना/NOUN
घालिनासतना,अवज्ञा,घालिनासतना/NOUN
पद्दतीचो,विधि का,पद्दतीचो/ADJ
2003,2003,2003/NOUN
4,4,04/NOUN
केल्लें,बनाया,केल्लें/NOUN
स्थायी,स्थायी,स्थायी/NOUN
आयन,आयन,आयन/NOUN
होर्डिंगांची,जमाखोरी,होर्डिंगांची/NOUN
स्थापणूक,निरंकुशता,स्थापणूक/NOUN
वणटीचित्रां,अगले,वणटीचित्रां/NOUN
पंचायती,पंचायती,पंचायती/NOUN
वांगड्यांचें,सदस्य,वांगड्यांचें/NOUN
ओरियण्टेशन,यार,ओरियण्टेशन/NOUN
निमवैजकी,निमवैजकी,निमवैजकी/NOUN
कर्मचारी,कर्मचारी,कर्मचारी/NOUN
प्रदर्शन,प्रदर्शन,प्रदर्शन/NOUN
कुश्टरोग,कुश्टरोग,कुश्टरोग/NOUN
जंतूचें,जंतूचें,जंतूचें/NOUN
मायकोबॅक्टिरियम,खरगोश,मायकोबॅक्टिरियम/PRON
लॅप्री,लापरवाह,लॅप्री/NOUN
चडसो,के सबसे,चडसो/NOUN
मज्जातंतू,नर्वस,मज्जातंतू/PRON
यंत्रणेक,देश,यंत्रणेक/NOUN
कातीक,कठोर,कातीक/NOUN
कुश्टरोगाच्या,कस्टोर्टा,कुश्टरोगाच्या/ADJ
इनक्यूबेशन,इनक्यूबेशन,इनक्यूबेशन/NOUN
पिरीयड,पिरीयड,पिरीयड/NOUN
कुशटरोग,कुशटरोग,कुशटरोग/NOUN
लिंगाच्या,का,लिंगाच्या/ADJ
सारकोच,पनडुब्बी,सारकोच/NOUN
एमडीटी,एमडीटी,एमडीटी/NOUN
कुशटरोगाच्या,कस्टारोगा,कुशटरोगाच्या/ADJ
जंतूंक,जंतूंक,जंतूंक/NOUN
मारून,इसलिए,मारून/PRON
रोग्याक,मातृसत्तावादी,रोग्याक/NOUN
पूर्ण,अगले,पूर्ण/NOUN
रोगमुक्त,रोगमुक्त,रोगमुक्त/NOUN
समाजांत,समाज में,समाजांत/NOUN
पसरावपा,फैलाना,पसरावपा/NOUN
सगलेच,सभी नहीं,सगलेच/NOUN
कुश्टरोगी,कुश्टरोगी,कुश्टरोगी/NOUN
नासतात,काएं,नासतात/VERB
रोगी,रोगी,रोगी/NOUN
असंसर्गीक,असंसर्गीक,असंसर्गीक/NOUN
पातळायनात,पतला,पातळायनात/NOUN
टक्के,प्रतिशत,टक्के/NOUN
बाकीच्यो,आराम,बाकीच्यो/NOUN
जशें,ऐसा,जशें/NOUN
हुरहुरें,चक्रवात,हुरहुरें/NOUN
कुश्टरोगा,कुश्टरोगा,कुश्टरोगा/NOUN
कुश्टरोगाचीं,कस्टस्टोगिक,कुश्टरोगाचीं/NOUN
आंगाचे,खुशबूदार,आंगाचे/NOUN
काती,काती,काती/NOUN
हलको,लल,हलको/NOUN
हळडुवोसो,पीला,हळडुवोसो/NOUN
तांबडोसो,रेड,तांबडोसो/NOUN
भेरेता,भेरेता,भेरेता/NOUN
जळप,जलना,जळप/NOUN
थंडी,ठंडा,थंडी/NOUN
गरमी,गरमी,गरमी/NOUN
संवेदनाय,संवेदनाय,संवेदनाय/NOUN
कातीर,कातीर,कातीर/NOUN
तेलाचो,तेल का तेल,तेलाचो/ADJ
चकचक,चित्रकार,चकचक/NOUN
भुंवयांचेर,मूंड़ना,भुंवयांचेर/NOUN
खाडकेर,खडकर,खाडकेर/NOUN
कानार,कान,कानार/NOUN
मोटें,बड़ा,मोटें/PRON
सुके,सूखा,सुके/NOUN
हातां,हन हैंड्स,हातां/NOUN
बोटांनी,उँगलिया,बोटांनी/NOUN
विकृताय,विकृतया,विकृताय/NOUN
कुश्टरोगाची,कस्टोर्टिक,कुश्टरोगाची/NOUN
भेरेतात,में,भेरेतात/VERB
केलो,बनाया,केलो/ADJ
अपंगूळपण,विकलांगता,अपंगूळपण/NOUN
बहिश्काराचें,बहिष्कार का,बहिश्काराचें/NOUN
नासप,का उपयोग करते हुए,नासप/NOUN
निश्काळजीपण,विद्रोही झटका,निश्काळजीपण/NOUN
बोटां,पैर की उँगलियाँ,बोटां/NOUN
वांकडीं,भूरा,वांकडीं/NOUN
पांयांक,बैठकें,पांयांक/NOUN
कुरूप,कुरूप,कुरूप/NOUN
दिसपाक,देखता है देखो,दिसपाक/VERB
हेच,वह है,हेच/NOUN
आवतिकायेंत,आवतिकायेंत,आवतिकायेंत/NOUN
कुश्टरोग्याच्या,कस्ट्रोगिक,कुश्टरोग्याच्या/ADJ
भेरेल्ल्या,चालाक,भेरेल्ल्या/NOUN
असंवेदनशील,सुन्न,असंवेदनशील/NOUN
कुयदाद,कुयदाद,कुयदाद/NOUN
घेनाशिल्ल्यान,तनाश लेने के कारण,घेनाशिल्ल्यान/NOUN
अल्सर,अल्सर,अल्सर/NOUN
घायांचे,घायल,घायांचे/NOUN
अल्सरांचे,व्रण,अल्सरांचे/NOUN
पिडेस्ताचेर,दुख की पीड़ा पर,पिडेस्ताचेर/NOUN
उपचारांत,उपचार में,उपचारांत/NOUN
जालो,जालो,जालो/ADJ
विरूपताय,वीरुपताया,विरूपताय/NOUN
आयल्या,अभी तक,आयल्या/NOUN
अपंगूळ,विकलांगता,अपंगूळ/NOUN
मनशाचेर,एक व्यक्ति पर,मनशाचेर/PRON
बारीकशें,बारीकशें,बारीकशें/NOUN
ऑपरेशन,ऑपरेशन,ऑपरेशन/NOUN
पांयांनी,पुस्तिकाएं,पांयांनी/NOUN
धंदो,व्यापार,धंदो/NOUN
मलेरियाचे,मलेरिया,मलेरियाचे/PRON
रोगाणू,रोगाणु,रोगाणू/NOUN
मादी,महिला,मादी/PRON
एनोफिलीस,संलयन,एनोफिलीस/PART
जळारान,जलना,जळारान/NOUN
घांस,याद,घांस/PART
मारतकच,अभी,मारतकच/PRON
चाबतात,कोड़ा,चाबतात/VERB
कुडकुडो,कुदकुडो,कुडकुडो/NOUN
शिंयान,शिंयान,शिंयान/NOUN
आयदनांनी,इडान द्वारा,आयदनांनी/NOUN
